case_id,len,height,thk,force,f0,uy_amp,area
0169,9.381936,1.169491,0.086904,1098.203,9.0,0.0003639414009,10.97208971
0170,11.640885,1.046988,0.095508,865.084,9.0,0.0002324954673,12.1878669
0171,11.570899,1.019262,0.116634,1753.063,9.0,0.0003865446331,11.79377766
0172,10.096701,0.857867,0.100683,641.338,9.0,0.0002887823974,8.661626597
0173,9.857469,1.093662,0.095828,660.322,9.0,0.0009996327456,10.78073926
0174,8.786654,1.145937,0.098427,526.651,9.0,9.749500981e-05,10.06895192
0175,8.261185,0.878797,0.110067,1118.347,9.0,0.0005292928098,7.259904594
0176,8.547108,0.80689,0.089633,1472.325,9.0,0.004973414781,6.896575974
0177,9.721135,1.006867,0.118987,1151.872,9.0,0.002351345963,9.787890034
0178,9.598389,1.013917,0.11096,1153.437,9.0,0.002419986792,9.73196978
0179,9.540667,1.042895,0.106241,629.753,9.0,0.0006977267341,9.949913911
0180,11.34546,1.063262,0.100031,1380.423,9.0,0.0004226946127,12.06319649
0181,8.120714,0.960296,0.080155,1850.76,9.0,0.0005860299548,7.798289171
0182,8.980422,0.83443,0.087214,1490.506,9.0,0.00356746041,7.493533529
0183,11.01703,0.937768,0.094253,1054.976,9.0,0.0003396728689,10.33141819
0184,10.980373,0.823484,0.084806,715.647,9.0,0.0002346818173,9.04216148
0185,8.537456,0.873846,0.109383,1620.658,9.0,0.001327837171,7.460421776
0186,8.666801,0.920506,0.083534,1188.431,9.0,0.0009777024095,7.977842321
0187,8.012502,1.104557,0.112127,830.849,9.0,8.911559364e-05,8.850265172
0188,9.695382,1.08003,0.096515,568.658,9.0,0.0006352046707,10.47130342
0189,8.403849,0.917786,0.104274,1881.059,9.0,0.0008354305198,7.712934958
0190,10.825393,1.157467,0.094425,1698.968,9.0,0.001276938954,12.53003516
0191,11.888758,1.022909,0.081966,773.225,9.0,0.0002135860824,12.16111756
0192,11.941853,0.809585,0.108563,1989.264,9.0,0.0003798549813,9.667945061
0193,9.062254,1.017116,0.108734,856.753,9.0,0.0004319594606,9.217363539
0194,10.544027,0.931526,0.112861,1393.876,9.0,0.0004862587112,9.822035295
0195,10.630493,1.12345,0.092916,517.088,9.0,0.0004410087554,11.94282736
0196,11.022644,0.983072,0.110601,962.468,9.0,0.0002809586649,10.83605268
0197,10.427051,0.847095,0.084664,1946.886,9.0,0.00083317373,8.832702767
0198,10.154409,1.028792,0.095276,949.586,9.0,0.0009420639791,10.44677474
0199,11.690481,1.174325,0.093955,744.3,9.0,0.0002404669641,13.7284241
0200,10.348946,0.864692,0.110261,1498.967,9.0,0.0005299271549,8.948650815
