case_id,len,height,thk,force,uy_tip,uy_max,u_sum_max,sig_max,area,volume
0117,6.554198,0.457998,0.096974,1694.6027,-0.00096456619,0.00096461371,0.00096593077,3323992.8,3.0018096,0.29109748
0118,7.480859,0.900142,0.035937,1221.0985,-0.00036955304,0.00036964548,0.00037112288,1921656.7,6.7338354,0.24199384
0119,11.994786,1.331984,0.088868,1509.7929,-0.00023482472,0.00023487118,0.00023567303,703464.46,15.976863,1.4198319
0120,10.0457,1.345927,0.074629,1617.9523,-0.00017118837,0.0001712474,0.000172092,737767.89,13.520779,1.0090422
0121,7.29262,1.250195,0.120803,1624.8185,-5.1073163e-05,5.1109722e-05,5.1516038e-05,386748.92,9.1171971,1.1013848
0122,6.404376,0.878336,0.091932,789.91523,-6.3292564e-05,6.3315965e-05,6.3642794e-05,437913.65,5.625194,0.51713533
0123,9.480458,0.31141,0.105181,1598.4172,-0.0080599376,0.0080599789,0.0080624223,9004412.9,2.9523094,0.31052686
0124,12.284479,0.589149,0.107695,991.23666,-0.0015694959,0.001569521,0.0015705338,1978525.0,7.2373885,0.77943056
0125,13.866044,1.047466,0.058337,1328.3467,-0.00099544878,0.00099551082,0.00099709759,1753639.0,14.52421,0.84729882
0126,10.430719,0.213295,0.030698,1474.3972,-0.1052916,0.10529168,0.10530404,66530637.0,2.2248202,0.068297531
0127,12.712462,1.238414,0.101091,1742.3499,-0.00035214791,0.00035219487,0.00035312376,872887.1,15.743291,1.591505
0128,6.734739,1.243513,0.072866,636.6309,-2.6645127e-05,2.6668997e-05,2.6913368e-05,235157.86,8.3747355,0.61023348
0129,11.572637,0.246056,0.065137,1311.0268,-0.0392496,0.039249634,0.039254614,23245900.0,2.8475168,0.1854787
0130,11.267289,0.388758,0.118768,1099.5545,-0.0042367646,0.0042367898,0.0042382067,4183804.1,4.3802487,0.52023338
0131,11.617306,0.608959,0.023932,649.28894,-0.0035438329,0.0035439068,0.0035466371,5164313.2,7.074463,0.16930605
0132,13.988666,1.19903,0.033964,1195.4391,-0.0010541979,0.0010542936,0.0010564524,2088646.3,16.77283,0.5696724
0133,11.10764,0.896137,0.117006,625.81399,-0.00019204919,0.00019206377,0.00019241258,451142.34,9.9539672,1.1646739
0134,9.79994,0.696684,0.042087,1463.7016,-0.0018235312,0.001823626,0.0018262024,4276808.6,6.8274614,0.28734737
0135,10.909146,0.836539,0.075118,1416.7024,-0.00078836789,0.00078841932,0.00078971394,1792162.0,9.1259261,0.68552132
0136,8.385861,1.207124,0.085199,1786.6623,-0.00013376562,0.00013382276,0.00013458177,741635.74,10.122774,0.86245023
0137,11.656032,0.566054,0.035195,1009.4972,-0.0047105023,0.0047105803,0.0047136968,6336601.3,6.5979435,0.23221462
0138,12.373143,0.355321,0.077396,1321.5189,-0.013502179,0.013502207,0.013505329,10112170.0,4.3964375,0.34026668
0139,7.258341,1.391671,0.081739,1206.2281,-4.026965e-05,4.031006e-05,4.0706898e-05,342256.67,10.101223,0.82566384
0140,6.988898,0.795669,0.12533,726.86332,-7.4401089e-05,7.4416883e-05,7.4683693e-05,391940.57,5.5608495,0.69694127
0141,7.181357,0.329015,0.053925,1050.9792,-0.0038111245,0.0038111775,0.0038134223,7847837.4,2.3627742,0.1274126
0142,12.828088,0.206113,0.10614,1429.6712,-0.060903186,0.060903209,0.060907624,24569368.0,2.6440357,0.28063795
0143,10.135132,0.376674,0.134564,1476.5814,-0.0040186344,0.0040186643,0.0040202233,4753655.0,3.8176407,0.513717
0144,8.056714,1.12894,0.055056,941.25312,-0.00011813336,0.00011817989,0.00011881599,663667.85,9.0955467,0.50076442
0145,7.593167,0.873674,0.081016,1148.7558,-0.00017628116,0.00017631991,0.00017696538,864227.12,6.6339526,0.5374563
0146,6.288303,0.821017,0.100046,767.36204,-6.5402362e-05,6.5423217e-05,6.5730013e-05,438791.79,5.1628037,0.51651786
0147,11.26178,0.930964,0.083074,1424.6754,-0.00057248829,0.000572535,0.00057362619,1359026.5,10.484312,0.87097371
0148,9.689467,1.083576,0.022542,1766.0386,-0.0010601414,0.0010603549,0.0010640253,3957162.7,10.499274,0.23667463
0149,6.09004,1.26227,0.111975,1114.952,-2.1587397e-05,2.1614478e-05,2.1861042e-05,235616.88,7.6872748,0.86078259
0150,9.162161,1.052047,0.122657,1607.7041,-0.0001639444,0.00016398019,0.00016457808,664686.67,9.639024,1.1822938
0151,13.746213,1.0376,0.133711,1440.9784,-0.00047223016,0.00047225952,0.00047301109,838474.03,14.263071,1.9071294
0152,13.065151,0.304462,0.068185,706.10306,-0.015334503,0.015334521,0.015336857,8819371.3,3.977842,0.27122916
0153,7.516404,0.201129,0.070255,1406.624,-0.019575041,0.019575075,0.019579005,22483327.0,1.5117668,0.10620918
0154,11.162077,1.02838,0.055905,1159.8728,-0.00050088388,0.00050094053,0.00050212383,1337644.7,11.478857,0.64172549
0155,6.867959,0.293822,0.041444,839.91476,-0.0048670969,0.0048671521,0.0048696527,9785256.3,2.0179574,0.083632229
0156,8.952294,0.500726,0.078843,974.51117,-0.0013292181,0.0013292518,0.0013304172,2682988.0,4.4826464,0.35342529
0157,6.589486,1.284187,0.063007,1202.8201,-4.9631901e-05,4.9683911e-05,5.0188391e-05,471695.63,8.4621323,0.53317357
0158,10.18422,0.488978,0.087162,931.15361,-0.0018152277,0.0018152567,0.0018164307,2762660.5,4.9798595,0.43405452
0159,11.167703,0.337461,0.059054,1719.1132,-0.01983079,0.019830869,0.019835958,17297490.0,3.7686642,0.2225547
0160,8.490933,0.527345,0.040923,1591.4286,-0.0030557736,0.0030558795,0.0030591798,7222693.0,4.4776511,0.18323891
0161,7.749675,0.662731,0.132992,1512.9484,-0.00034317349,0.00034320454,0.00034390411,1225067.0,5.1359499,0.68304024
0162,8.820856,0.420367,0.130308,1086.8258,-0.0014492854,0.0014493081,0.0014502315,2527671.7,3.7079968,0.48318164
0163,7.841642,1.318982,0.101601,890.70161,-3.5225763e-05,3.5249665e-05,3.5519839e-05,243585.95,10.342985,1.0508576
0164,10.547972,0.39063,0.044515,851.29942,-0.0070789182,0.0070789702,0.0070816971,8018110.9,4.1203543,0.18341757
0165,11.468364,1.211655,0.080348,661.51891,-0.00013199987,0.00013202227,0.00013243091,393278.79,13.895701,1.1164918
0166,10.645938,0.787059,0.04434,1070.2305,-0.0011256212,0.0011256871,0.0011274061,2527839.8,8.3789813,0.37152403
0167,6.169012,1.377182,0.043914,1467.6637,-5.8258803e-05,5.8349787e-05,5.9114746e-05,674482.72,8.4958523,0.37308686
0168,12.786143,1.146614,0.118091,503.91004,-0.00011165432,0.00011166592,0.00011191597,253236.68,14.660771,1.7313051
0169,7.807813,0.982698,0.12428,1360.1228,-0.00010410493,0.00010413475,0.00010458928,542522.96,7.6727222,0.95356592
0170,12.580922,1.290558,0.062916,621.71039,-0.00017303838,0.00017306532,0.00017357073,456406.64,16.23641,1.0215299
0171,7.037808,0.340146,0.056581,1531.503,-0.004509753,0.0045098268,0.0045127821,10000478.0,2.3938822,0.13544825
0172,13.156487,0.94303,0.090881,1251.5645,-0.00070446128,0.00070449876,0.0007055105,1240703.9,12.406962,1.1275571
0173,12.348815,0.715979,0.02664,807.96306,-0.002928471,0.0029285535,0.0029313117,4442258.2,8.8414922,0.23553735
0174,11.85698,0.224206,0.045676,1032.2435,-0.0626678,0.062667839,0.062674129,32204687.0,2.6584061,0.12142536
0175,13.349983,0.590746,0.048552,1231.4129,-0.0055043748,0.0055044438,0.0055074689,5888888.4,7.8864491,0.38290287
